MasterID,date,mean.svl,bci,next.bci
664,10/30/2014,51.5,0.023970874,-0.009812349
20,10/30/2014,69.65,0.087176543,0.063407957
187,10/30/2014,60.7,0.507864255,0.450575903
666,10/30/2014,59.6,-0.069565913,0.171978151
667,10/30/2014,50.8,-0.371854981,-0.245546861
345,10/30/2014,76.7,0.093179077,0.105037769
40,10/30/2014,76.5,-0.265288527,-0.344708736
343,10/30/2014,68.5,0.075380928,-0.226436421
668,10/30/2014,57.6,0.229117467,-0.307713586
669,10/30/2014,49.8,0.229187251,-0.119093686
670,10/30/2014,51.6,-0.012916918,-0.236613603
671,10/30/2014,49.1,-0.123500007,-0.006274694
672,10/30/2014,54.7,-0.098158399,-0.002555549
349,10/30/2014,75.8,0.153341424,-0.106957394
585,10/31/2014,49.3,0.06155527,0.259228787
605,10/31/2014,46.1,-0.157096444,-0.081116686
603,10/31/2014,48.6,-0.175942502,-0.736343848
670,11/6/2014,50,-0.236613603,-0.2464659
670,11/6/2014,50,-0.2464659,-0.311292178
596,11/6/2014,53.9,-0.117034127,0.419735849
675,11/6/2014,52.1,-0.202072818,0.022388449
587,11/6/2014,59.6,-0.624562755,-0.137960086
678,11/6/2014,53.8,-0.239688898,0.054967396
668,11/17/2014,59.1,-0.307713586,0.314128167
679,11/17/2014,60,0.021806601,-0.112862068
891,11/22/2014,50,-0.271529868,-0.398445541
661,11/22/2014,49.8,-0.25205947,-0.402661711
680,11/22/2014,53.5,-0.307050336,0.141243389
681,11/22/2014,49.6,0.058716387,-0.269803427
682,11/22/2014,56.8,0.103061033,0.267023824
597,11/22/2014,47.5,0.067714218,-0.399419175
652,11/22/2014,47.8,-0.148366363,-0.117978974
47,11/22/2014,68.8,0.055275519,-0.306385081
611,11/22/2014,45.6,0.132029977,-0.213136034
579,11/22/2014,56.7,0.174027609,0.551469513
683,11/22/2014,48.6,-0.073048079,0.053834769
685,11/22/2014,50.2,-0.332994282,-0.085385063
687,11/22/2014,59.2,-0.119253447,-0.4060634
688,11/22/2014,51.4,-0.292442544,0.225265966
689,11/22/2014,55.3,-0.230866076,-0.04868141
690,11/22/2014,40,-0.471147964,-0.4203398
154,11/22/2014,68.1,-0.005725802,-0.226758736
691,11/22/2014,53,-0.235687618,0.003292678
692,11/22/2014,51.3,0.247997113,-0.09119245
694,11/22/2014,52.5,-0.005423188,-0.155194592
695,11/22/2014,49.6,-0.505557071,0.336753043
696,11/22/2014,48.6,-0.14204095,-0.148431385
698,11/22/2014,47.1,-0.337474348,-0.080261161
699,11/22/2014,53.3,0.246510284,-0.062520102
247,11/22/2014,63.9,0.327888729,0.274955514
311,11/22/2014,57.2,0.439473369,0.016428307
700,11/22/2014,46,-0.261402077,-0.253427169
638,11/22/2014,53.5,-0.123985008,-0.127658332
703,11/22/2014,58.4,0.322744137,-0.248203058
882,11/22/2014,49.4,-0.55681239,0.105680075
707,11/22/2014,46.3,-0.108401945,-0.321420575
663,11/23/2014,45,-0.309865745,-0.22676981
20,11/23/2014,68.3,0.063407957,-0.325391075
685,11/23/2014,44.8,-0.085385063,0.223322263
145,11/23/2014,65.3,0.067108853,-0.353499925
702,11/23/2014,53.6,-0.147431936,0.124848029
704,11/23/2014,47.5,-0.343867117,-0.36779139
